individu,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,Dim11,Dim12,Dim13,Dim14,Dim15,Dim16,Dim17,Dim18,Dim19,Dim20,Dim21,Dim22,Dim23,Dim24,Dim25,Dim26,Dim27,Dim28,Dim29,Dim30,Dim31,Dim32,Dim33,Dim34,Dim35,Dim36,Dim37,Dim38,Dim39,Dim40,Dim41,Dim42,Dim43,Dim44,Dim45,Dim46,Dim47,Dim48,Dim49,Dim50,Dim51,Dim52,Dim53,Dim54,Dim55,Dim56,Dim57,Dim58,Dim59,Dim60,Dim61,Dim62,Dim63,Dim64,Dim65,Dim66,Dim67,Dim68,Dim69,Dim70,Dim71,Dim72,Dim73,Dim74,Dim75,Dim76,Dim77,Dim78,Dim79,Dim80,Dim81,Dim82,Dim83,Dim84,Dim85,Dim86,Dim87,Dim88,Dim89,Dim90,Dim91,Dim92,Dim93,Dim94,Dim95,Dim96,Dim97,Dim98,Dim99,Dim100,Dim101,Dim102,Dim103,Dim104,Dim105,Dim106,Dim107,Dim108
1,-0.25509780777949087,0.12369847846554761,-0.17239944853472558,-0.2566925228722697,0.3977749132241657,0.020939731735636277,-0.16174431697358432,0.24190969496527823,-0.06606249672020371,0.27542170764846513,0.2631509803762483,0.0697449963717317,-0.21255850833323117,0.3375191664118158,0.04918963739281073,0.21215057594616135,-0.2360875755210032,0.07862005352395084,-0.2743691556355259,-0.03326044962673145,-0.10355075843299072,0.15004829582412532,0.304188865607914,0.23523000171429537,0.09560534159250468,0.10333415830901722,0.194724886508082,-0.19632586365851365,-0.24634329641620856,-0.02958153462787054,0.13760179867487543,0.016084111100424625,0.422539139858072,-0.3928812935364954,0.033899200857772226,0.3237262470514689,0.011233384789771756,-0.20829338254623622,0.20210469081240598,0.10135095817228831,0.05677682158984881,-0.17514505544386905,-0.02857307989703962,0.04169904491012024,-0.12331804101331591,-0.28332714931293684,0.03221753889371667,0.1853216542121212,0.01575924215972683,-0.061342401403181764,0.030406588587888434,-0.06930821912099992,-0.18485204632592128,-0.07690044038406106,-0.08925040807614476,0.03932369559334677,-0.09266434732249987,-0.035360519389793996,-0.0438521575049753,0.1115709338504715,0.12888227852745285,-0.05023147173798278,0.08207635809708057,0.02996477477648107,-0.08322839230130652,0.03527380383240372,-0.06911120085856143,0.04024268250035143,-0.028741927056740953,0.04401932299353706,-0.013078239871732412,0.0036501401735904203,-0.12278687569549934,0.05045646923849626,-0.01036065181278975,-0.02813553730038338,-0.013206909784388527,0.0036798312935552623,-0.0030948927668673428,-0.9804943791207671,0.007026201607790254,-0.00748528025822069,-0.010349209600146637,-0.0033468403711161485,0.010563953478218275,0.02121706230104888,-0.0062711820467362955,0.0018523978786343473,-0.005207580769503906,0.02895376984196731,-0.003497209615367714,0.013435182889365255,0.040807117959972446,0.002490001396317791,0.007342180568525475,0.011611988336533801,0.09095462398631472,0.004027487255725559,-0.019019453991519733,0.026649478852391068,0.0070698552302549695,-0.005113336012052273,0.0011076200729829603,0.009208344441255184,-0.032466708740505446,-1.2031719673788466e-05,-0.019012278263205964,-0.002701094838221188
2,-0.24411714067722373,0.23765378460633352,-0.30094970001230065,0.18516091610231336,0.12382037967932517,-0.10254183230582027,0.17040351178187624,-0.08237114605152948,-0.16598679821363493,-0.1867072441439202,0.20749220936016213,-0.25100287996665016,-0.26137577348287105,0.08895570077517043,0.0990275800137881,-0.08752373739438865,-0.02168976114888562,0.07643299203699808,-0.21068461591543866,0.12136642003969196,0.1495275396427454,0.2037467392981478,-0.17964118599427817,0.11541736156850521,-0.23027489126868006,-0.16483004019632153,0.07164937150365429,0.03963327731115477,0.06931084213412683,0.12600678930217893,0.14147141010316452,-0.21014705632620465,0.24044535390485733,-0.04478010141526138,-0.01722293199646954,0.04642843940600188,0.1717452803537346,-0.08740340328665337,0.04140486551294394,0.1729299268899941,-0.009988760148268012,-0.20430473342959124,-0.17008721144065383,-0.011307408245389545,0.11254660446819542,0.19229309712567877,-0.3059764197033673,0.13990826168847198,0.13719360045724158,0.15365043701391198,0.08758836708097527,0.12145897652217885,0.04784354070436477,0.06637970081289522,0.13035994115745012,0.08285142357241963,0.07120392689361248,0.1050901194873905,-0.10432152670240796,-0.02679013751002393,-0.1505178166853517,-0.010063490109567561,-0.12921688642518325,-0.007325786212284419,-0.059192830437170635,0.07581779397777622,-0.038650249874380364,-0.012107244822699677,-0.023834681956153042,-0.12442523914446117,0.026970466951208163,-0.016914510307153182,-0.026243536751458758,0.015466161327817092,0.013390520745715964,0.006316225664395905,-0.010085741968927453,0.0010093092124287978,0.0033212711632364246,-0.980494379120767,0.007026201607790268,-0.007485280258220395,-0.010349209600146896,-0.0033468403711158813,0.010563953478218206,0.021217062301048934,-0.006271182046736268,0.0018523978786343265,-0.005207580769503805,0.028953769841967087,-0.0034972096153675198,0.013435182889365283,0.040807117959972584,0.0024900013963176106,0.007342180568525545,0.011611988336533947,0.09095462398631457,0.00402748725572567,-0.019019453991519636,0.026649478852391138,0.0070698552302551915,-0.0051133360120523075,0.001107620072982662,0.009208344441254892,-0.03246670874050539,-1.2031719673857855e-05,-0.019012278263206048,-0.0027010948382211603
3,0.059155029245371214,0.02227518247500238,-0.3456001694701912,0.3142904982361913,0.4275168701825186,-0.054298137924461205,-0.3040352847647321,0.29207889187260294,0.059057182017662066,0.005815430693153424,0.3361567343712548,-0.36382569697091943,0.06745865980587928,0.07313461701392704,-0.246767100909071,-0.144418325184135,-0.10298255234576162,-0.0044110979716280915,0.04865518176756557,0.06887564580512467,-0.1290055249131451,0.40264732606036935,-0.022689846382863768,0.23086877286374238,0.3416340893280031,0.3760279697196807,0.07779572790627101,-0.10293383666963206,0.005751336084437296,-0.21184089577931384,-0.07947844105288925,0.004494711506767808,-0.10954639215565354,0.1454972907071438,-0.2347816566715964,0.3692351505141026,0.31361009402749845,-0.002909743788771239,-0.15341838116483042,0.07390779218500436,-0.27501401303171674,-0.32597798905714265,-0.1548234752883324,0.28350695919991264,-0.013701026815264878,-0.04267599420101694,0.008437490195809342,0.06010916460699071,0.12718937520417778,-0.021912637013950017,-0.009583230512932365,0.007521672215871523,-0.10965588156400347,-0.04008368141490353,0.1855699613521891,0.17525551904881448,0.06791211319965951,-0.081558445439076,-0.2852116106429571,-0.010508535074044058,-0.06900239725998895,-0.01926058979723368,-0.13296474471345648,0.08291000720681133,0.2722095615987806,0.053170846530806455,0.09057340718241937,0.15479966913475096,-0.1371132878312414,0.11266708669898809,-0.2392079739401459,0.05544378210473327,-0.008097760499164356,-0.03636433609949794,-0.02958109869961784,0.03123242696568164,-0.0020645848143671366,0.012457006271251805,0.003274077348602421,-0.980494379120767,0.007026201607790219,-0.007485280258220621,-0.010349209600146519,-0.0033468403711159195,0.010563953478218147,0.021217062301048892,-0.006271182046736312,0.0018523978786344514,-0.005207580769503847,0.02895376984196728,-0.003497209615367426,0.01343518288936527,0.04080711795997268,0.0024900013963177563,0.007342180568525517,0.011611988336534011,0.09095462398631461,0.004027487255725698,-0.019019453991519567,0.02664947885239104,0.00706985523025498,-0.0051133360120524255,0.0011076200729826515,0.009208344441255205,-0.0324667087405056,-1.2031719673802344e-05,-0.019012278263206048,-0.002701094838220952
4,-0.392229817422255,0.11873582243820653,0.1408003416050346,0.0707851973476791,-0.5003506235343486,-0.06984279735679412,-0.07679509383984358,-0.11790992118546972,0.21023276486672282,0.21345604699419884,0.05854602418486314,0.01803171622668415,0.1349359530290284,-0.11982785693132926,0.3308949892822248,-0.07764449475026083,-0.025563588614515114,0.08308862959554184,0.6021273913069936,-0.13087669501172938,-0.2852395123833562,0.07851691018208454,-0.032904399733573814,-0.059924004561458175,-0.03212758189796182,-0.0013004767874755829,0.0071371297823324,0.07554260994602081,-0.01618127458356809,0.23638390900626807,0.008300818240536065,0.04126411067059039,-0.08205741375942621,0.19824817483924337,-0.06758299463359406,-0.22476832532635924,0.05125672269511817,0.0028256023161492005,0.0436450267770911,0.06459391166891683,-0.08522802509183301,-0.02888337467048741,0.21686424010228947,0.07080350121197598,-0.15070553743259474,0.10226829507553496,0.05610140539062243,-0.14421248234724993,-0.16397457088008394,-0.08270889250243378,0.1663871205888629,0.014886097566202862,-0.28654335777586293,-0.028067024697244116,0.022143339144971373,-0.19037529801445865,-0.10951938897965062,0.09024818874453729,0.03427568221510174,-0.008508169309121036,0.09566597592581604,-0.012298527066141804,0.05557964248086037,-0.04686319516372069,-0.07433549390605847,0.05273826127496343,-0.11485557906313924,0.08408795424987403,0.012030954071358001,0.05352713774574007,-0.04842117859101641,0.012196786275882093,-0.07354147499463391,0.016667010399998544,-0.014381899305924727,-0.01861404695755672,-0.006759518156570361,0.0023391740027228197,-0.0029835495540873284,-0.9804943791207674,0.007026201607790231,-0.00748528025822023,-0.01034920960014655,-0.0033468403711160674,0.01056395347821802,0.021217062301049,-0.0062711820467363415,0.0018523978786341548,-0.005207580769503909,0.028953769841967066,-0.0034972096153674066,0.013435182889365297,0.040807117959972564,0.002490001396317816,0.007342180568525468,0.011611988336534054,0.09095462398631467,0.004027487255725836,-0.019019453991519903,0.026649478852391117,0.007069855230254997,-0.005113336012051989,0.0011076200729827565,0.009208344441255217,-0.03246670874050554,-1.2031719673913366e-05,-0.01901227826320602,-0.00270109483822098
5,-0.26461440178467605,0.04123734936460272,-0.09660556351349127,0.13618882582166045,-0.14598898595043266,0.05862208522221856,-0.13194385115037605,-0.23726890863782077,0.25777863513859295,-0.059377604880225796,0.21835422270686755,-0.3505335231119785,-0.13449486400718474,0.03985696890606739,-0.1303640905294233,-0.11400360202532037,0.06680527288015767,-0.25553458091428327,-0.3197235868083114,-0.15237078926804237,0.00513028983415991,-0.07260213932281526,-0.12333756261663924,0.1371107663426924,-0.04848383214596141,-0.1404517131748079,-0.2522142343574058,-0.019421619197818773,0.10333677391304802,-0.0009821140920103625,-0.06107010564468867,-0.22560357107416554,0.06105324031570793,0.06726338615722643,0.06718048496159376,0.012941914079469452,-0.04936451049821529,0.05143835930776073,-0.23901441307233165,0.02643368415581496,0.07355184960747221,0.061048556174988736,-0.007907364977702532,-0.17614260235911722,0.1288261292659126,-0.25627661419259434,0.2554865412047401,-0.0995692728052123,-0.05235292846261879,-0.02386342118140714,-0.03382024376428465,-0.07116539133955839,-0.14442126723419177,-0.0912187841892689,-0.022314153766041265,-0.053885076753319744,0.04761434866324102,-0.06521417204061568,-0.01007056087865277,0.1250082534492511,0.12086104318524388,-0.1510338542177895,0.008555488018903028,-0.1373204997816406,0.030688262022844654,-0.05466072148350364,0.044699511432798884,0.007738677094352701,0.02712924566937716,-0.0021938747262155844,0.002672845508407616,-0.015417933993312252,-0.007959116984013713,0.009310774464918181,-0.000904852418927023,0.0023545723557893265,0.0064366561389975615,-0.001489109360074592,0.0019458056774337962,-0.9804943791207671,0.007026201607790258,-0.007485280258220438,-0.010349209600146663,-0.0033468403711161194,0.010563953478218098,0.02121706230104892,-0.006271182046736258,0.0018523978786343283,-0.005207580769503798,0.028953769841967163,-0.0034972096153674205,0.013435182889365193,0.04080711795997258,0.002490001396317753,0.007342180568525538,0.01161198833653402,0.09095462398631463,0.004027487255725706,-0.019019453991519778,0.026649478852391283,0.007069855230254879,-0.005113336012052187,0.0011076200729826142,0.009208344441255019,-0.032466708740505376,-1.2031719673941121e-05,-0.019012278263206214,-0.002701094838221174
6,-0.19935226616493082,-0.04317406649835864,0.2570073683912561,-0.170888968967921,-0.28033008056604974,-0.054673562890525634,0.2463834125071082,-0.09054682264008619,0.17669183375065609,-0.009618535744187846,0.08332182701198522,-0.09089103363415398,0.07724339168981896,-0.045543238818989536,-0.04031544963560461,-0.17773192401210972,0.12765424713822784,0.04506177809508089,-0.30791466561849373,-0.003955382284738636,-0.11588645054717077,0.02176350848621215,-0.30156849875563435,-0.047379009238475975,0.012360892949852726,0.06696391010074997,0.04667095551120539,0.07794563726967228,0.0816505865777197,-0.07457992624091145,-0.1815239183084447,-0.05508586839727931,-0.33972839736997335,0.10857675243259467,0.0065170477851528115,0.10712932595626247,-0.16249771946283245,0.13888304954090797,-0.025241125842391764,-0.22724127506425157,-0.1795488256689095,0.1740766204132843,-0.14276540227029522,-0.07434869626704795,0.05634978315097009,-0.06273018174151805,0.06379631974566495,0.1485347062320254,-0.058277699093053456,0.013852757080741072,0.14066090470216022,-0.03768396559950453,0.09150232825365394,-0.07521767099329434,0.1303616019732185,0.13159099893202322,0.007589001653413301,-0.11971920120163433,-0.048546912325806275,-0.0665469856929351,0.09142967156638919,-0.14057490568376568,0.08377760310744192,-0.01190492395957704,-0.015381817028313583,0.08530294936060895,0.022896254374897413,-0.08387480345212626,-0.10133270596789384,0.07852963392357222,-0.03148449371779579,0.0023271484582975386,-0.1266852893845518,0.07634263554652752,-0.02730792519219607,-0.02342360399658898,-0.00693813813024077,0.017494824932065955,-0.013751100743097837,-0.9804943791207672,0.0070262016077903,-0.007485280258220403,-0.010349209600146726,-0.0033468403711158713,0.010563953478218154,0.021217062301048938,-0.0062711820467363484,0.0018523978786341895,-0.005207580769503694,0.028953769841967267,-0.003497209615367365,0.013435182889365124,0.04080711795997263,0.0024900013963176366,0.007342180568525683,0.01161198833653404,0.09095462398631465,0.004027487255725775,-0.019019453991519764,0.02664947885239134,0.007069855230254914,-0.005113336012052229,0.0011076200729828501,0.009208344441255081,-0.03246670874050543,-1.2031719673816221e-05,-0.019012278263206117,-0.0027010948382210354
7,-0.09793662223936123,-0.060641275968116505,-0.10751019287099697,-0.2178043482864768,0.2554016797693896,-0.02593113050406348,0.11754572062058895,0.23649644209475054,0.017075563848793295,-0.25233243740608835,0.3903348267863133,0.13087104664322935,-0.07165555664162293,0.07978627948692606,0.2551600577110055,0.01920712641031903,0.15845025720702688,-0.16958114409250205,-0.100714421427692,-0.2734724616012157,0.11736252194333835,0.12327522363842752,0.09226543336487325,0.1805855562985404,-0.011063508765046208,0.015541399642683366,0.22034245828226842,-0.12803263780045737,0.1599546239079245,-0.13495664803302423,0.059943644814967896,-0.020809700512928894,-0.21209806016884833,-0.15060930813388707,-0.19371444224799342,-0.10103470372422987,-0.11809428031170217,-0.05001435477458046,0.1738574910540317,-0.023912006837619286,0.04912797303905058,-0.1061116800465539,0.0025263665163706484,0.11941313128907452,-0.08403539561944645,0.02797874967541897,0.19480280257294016,-0.12969376245563058,0.03271285358390588,0.005807026146913629,0.019555471355310456,-0.003553450169810958,0.09291753643860769,-0.07962113763155106,0.019613545691138,-0.08329870566930332,0.06754006105550758,-0.16201597006734259,0.16740352585542037,-0.029810436486010033,-0.01700795374288609,0.058040836523857116,-0.06169415688867668,0.09096635103879211,-0.02168811880247602,-0.05782417870742758,-0.019026819830661824,-0.011013913496379634,-0.07236601789850279,-0.060105237796922784,0.01366980297807901,-0.0008187023942738913,-0.028382976138238224,0.008276026363780387,0.00788280569904179,-0.010421125833806508,-0.012064772117843977,0.006228134446452424,0.008148116022328929,-0.9804943791207672,0.007026201607790365,-0.0074852802582205825,-0.010349209600146717,-0.0033468403711161623,0.01056395347821822,0.021217062301048983,-0.006271182046736309,0.0018523978786342988,-0.005207580769503694,0.028953769841967174,-0.0034972096153674643,0.013435182889365158,0.04080711795997247,0.002490001396317777,0.0073421805685256695,0.011611988336533968,0.09095462398631443,0.0040274872557255455,-0.019019453991519802,0.026649478852391027,0.007069855230254734,-0.005113336012052183,0.0011076200729827313,0.009208344441255184,-0.03246670874050543,-1.203171967388561e-05,-0.019012278263206173,-0.002701094838221188
8,-0.3169248333117175,0.167493675884536,-0.12275879853957283,-0.7065480081711133,0.5611380597045165,0.39823060014737327,-0.3924806325702193,0.3271221883365223,0.17743921273551425,0.4289850333106377,-0.053144493341335426,-0.12115304717265162,-0.20507045220790007,0.06821607298202174,0.0392766792300749,0.20693746756503908,0.22760432599072294,0.07280561575773435,-0.23974279996410328,0.026611385959191183,-0.2626489379901971,-0.040214900748990506,0.18048121328993968,-0.1424129817665637,-0.061516231297154965,0.15570093149102432,-0.18232762139266237,-0.12347313526631916,-0.3297620232660747,-0.041491955000837986,-0.2733484342584793,-0.09721982054139154,0.3561545631064195,-0.356278325873421,-0.012901548495555838,-0.1368037415632507,0.04945308107655269,-0.4132768194027493,0.11317941984821661,0.2868228265441619,-0.01948571125988475,0.027835909303723174,0.07023821548145949,-0.06193993400462441,-0.06724065017027014,-0.014751519749617815,0.09920183459986677,0.13482827741716485,-0.017567928879372495,-0.13170959903343477,-0.11764798934485209,-0.2102397793993747,-0.00391618586595354,0.05882358186537207,-0.10565682174134247,0.0012118312509870534,-0.0499592229429435,-0.04175574280446647,0.27752918115388725,0.11346766273076572,0.212352168224799,0.051877340224970675,0.06621258800753456,-0.042986306663311956,0.01868825351330647,0.06597898134137001,-0.028807648099197433,-0.025019023304644877,0.00784895871316337,9.409100145724027e-05,-0.023450880740209564,0.005364843076429804,-0.033570548985563935,-0.00973401875020004,0.0030941640097646526,-0.01998928613946594,-0.016280093081135733,7.92786438871025e-05,-9.566298084586001e-05,-0.9804943791207674,0.007026201607790291,-0.0074852802582204715,-0.010349209600146781,-0.003346840371116263,0.010563953478218157,0.021217062301048858,-0.006271182046736427,0.0018523978786344414,-0.005207580769503758,0.028953769841967278,-0.0034972096153675736,0.013435182889365363,0.04080711795997243,0.002490001396317761,0.007342180568525684,0.011611988336533733,0.09095462398631468,0.0040274872557254,-0.01901945399151981,0.026649478852390964,0.007069855230254806,-0.005113336012052218,0.0011076200729828129,0.009208344441255284,-0.03246670874050543,-1.2031719673732955e-05,-0.019012278263205937,-0.002701094838221091
9,-0.2884989858728633,0.11022770381631605,0.05242126871951836,-0.2818143619786012,-0.10819858283315888,0.2380593702852913,-0.06621505612907698,0.2329845723288733,0.3240723401050552,-0.24515979448089867,0.04280431255633913,-0.280275035820517,0.062115778974313286,0.21056776219457965,-0.041444926166161696,-0.28719601366038044,0.10147650164711225,-0.018261381957589674,0.06414931288674253,-0.18640662676394945,-0.03848898574258745,-0.06582925454680827,0.19253849329347508,0.08230039898272669,0.05768468949844988,0.1093110972845028,-0.25738099383966667,-0.056175484665948135,-0.008000696447194046,0.43351827522011865,-0.19339039067607572,0.12722853167626547,0.0048556105636689915,-0.13481761172255596,-0.3617143994983675,-0.20462906245068033,-0.2903100114006986,0.04132091892780481,0.1172853726815335,-0.02264629530154461,-0.1536496369179289,0.03151402652671292,-0.07603355509000283,0.1167866826122167,0.028893409115260726,0.214735935180564,0.16728500838212657,0.019540051277141725,0.055429528506201836,0.06833788165599032,-0.13938716754688713,0.01804026591072812,-0.14765711817904864,-0.10797054885762347,0.013512024005931132,0.07474572624634637,-0.005764276551937176,-0.11374251382970402,-0.06298546593053109,0.08419003999345358,0.007047521173686569,0.03426907884194543,-0.030240573725415325,-0.02980819215507777,-0.022017828558927467,0.0752184953386133,-0.13855223347356402,-0.07717025691262869,0.04438535917264428,0.029697022480101764,0.03168983497912484,-0.001502461033067289,0.00453818602495617,0.0461600473272237,-0.011753290523515784,0.012897215603977944,5.153334084154183e-05,0.034040853203954925,0.007491904078424714,-0.9804943791207674,0.00702620160779034,-0.007485280258220475,-0.010349209600146856,-0.0033468403711159576,0.010563953478218056,0.021217062301049017,-0.006271182046736212,0.0018523978786343374,-0.005207580769503755,0.028953769841967188,-0.0034972096153673654,0.013435182889365321,0.0408071179599725,0.002490001396317735,0.007342180568525743,0.011611988336533876,0.09095462398631446,0.004027487255725648,-0.019019453991519747,0.026649478852391006,0.007069855230255011,-0.005113336012052034,0.0011076200729825839,0.009208344441255041,-0.032466708740505425,-1.2031719673871732e-05,-0.01901227826320595,-0.002701094838221077
10,-0.0330082072087819,0.16708256924590928,0.13583279463027112,-0.571648556341483,-0.016683827964713096,-0.3090391722770226,0.0055611261353019515,-0.13981345250279276,0.3324810039372808,-0.04563591045723295,-0.21663938263158894,0.07660184348586181,-0.17740222073768028,0.12588693130427145,-0.3342541482397624,0.06635363390409131,0.2911922031554259,0.16497231098816875,0.047884883158925286,0.02802150366289698,0.03307287232632834,-0.1315856061760013,-0.07232603755634456,0.019352984675129987,0.09034436622829527,-0.32436370831099987,0.12212796165535737,0.07060723275620938,0.216931494006745,0.18656135022873702,0.15991982460966736,-0.3446076497869625,-0.18222870786630735,-0.0502884600467275,0.03129574856897192,0.026072734255475988,-0.035821464973860344,0.05958221907189278,-0.3307883417624235,-0.0333457705746505,-0.07288180340138008,-0.08389670401325625,0.16834754026311066,-0.03755708652728589,-0.019547645965523,0.12614755535710162,0.038288922144365446,-0.07821371696500554,0.07926047302620381,0.07107994579845052,0.10222480052457704,0.3855237938054099,-0.15320620784130373,-0.06788736788555605,-0.01005823857866225,-0.06691306402571744,0.23389399024576024,0.0754345681927579,-0.043404303828748624,-0.03306328108532619,0.02792862839013855,0.0764316610234237,-0.004225810612084424,0.11635227482624008,-0.029623507521282847,-0.13795620522737753,0.028908510310163,-0.1548437192756224,-0.15951154708336482,0.09668550855012303,-0.023677559501577954,-0.01665798711811415,0.01572902633514685,-0.03690230133468978,0.002729489758767904,-0.0002838055018523821,-0.009716815454916407,-0.026699638656036702,-0.007094439345232898,-0.9804943791207675,0.007026201607790383,-0.007485280258220501,-0.010349209600146647,-0.0033468403711159702,0.010563953478218069,0.02121706230104909,-0.006271182046736508,0.0018523978786342034,-0.005207580769503798,0.028953769841967073,-0.0034972096153675037,0.013435182889365089,0.040807117959972564,0.0024900013963176306,0.007342180568525517,0.011611988336534018,0.09095462398631457,0.004027487255725954,-0.01901945399151964,0.026649478852391186,0.007069855230254956,-0.005113336012052104,0.0011076200729828328,0.009208344441255182,-0.03246670874050539,-1.2031719673899488e-05,-0.019012278263206214,-0.0027010948382210354
