modalite,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,Dim11,Dim12,Dim13,Dim14,Dim15,Dim16,Dim17,Dim18,Dim19,Dim20,Dim21,Dim22,Dim23,Dim24,Dim25,Dim26,Dim27,Dim28,Dim29,Dim30,Dim31,Dim32,Dim33,Dim34,Dim35,Dim36,Dim37,Dim38,Dim39,Dim40,Dim41,Dim42,Dim43,Dim44,Dim45,Dim46,Dim47,Dim48,Dim49,Dim50,Dim51,Dim52,Dim53,Dim54,Dim55,Dim56,Dim57,Dim58,Dim59,Dim60,Dim61,Dim62,Dim63,Dim64,Dim65,Dim66,Dim67,Dim68,Dim69,Dim70,Dim71,Dim72,Dim73,Dim74,Dim75,Dim76,Dim77,Dim78,Dim79,Dim80,Dim81,Dim82,Dim83,Dim84,Dim85,Dim86,Dim87,Dim88,Dim89,Dim90,Dim91,Dim92,Dim93,Dim94,Dim95,Dim96,Dim97,Dim98,Dim99,Dim100,Dim101,Dim102,Dim103,Dim104,Dim105,Dim106,Dim107,Dim108
school__GP,0.0023383128789274833,0.004967879464822868,0.026902514587832205,0.003648581060178134,0.0005758913998896748,0.009816564649686542,0.014565749949585306,0.0015039095850329035,0.00011373768722690209,0.006859049630437005,0.003983117247132715,0.012615053700016124,0.00010390578580730516,4.846098249276162e-05,0.004181813901901225,0.006044188238135122,0.0005134603449139371,0.0046558951571999225,0.0022131014029497216,0.00885962641093206,0.0008084316893592653,0.010255591341950558,0.0005892137366926669,0.0005421686289528776,0.0027218838907392857,1.0510311860045201e-07,0.011855018324361609,0.000817521510260807,0.0004340475314323772,0.0016259634225790824,0.013409044516727794,0.0013784452407916035,0.011265417679073747,0.01045306142943862,0.00037663239454295734,0.0010675497480863694,0.02635740747690594,0.026916245187642455,0.0005145244956801711,0.004109188937797241,0.0031725363309652367,0.022403503867331725,1.33207099111866e-05,0.00010164960553200346,0.004687700208004734,0.0003068995702420864,0.014663559941639455,0.01943053376675452,9.612400602698162e-05,0.014528749103904977,0.000574462361646676,0.0065479114073463485,0.018277862812991652,0.0185004771935965,0.018167754539944646,0.003081940170101544,0.007619759606286086,0.002947257039141984,0.014296178186967028,0.03078727162356502,0.026363980250109248,0.022955713928264242,0.008117770988283987,0.04332212641632481,0.0002034523928659281,0.07211451080946191,0.08636218813545045,0.018163315534648786,0.024559777142872056,0.03279637463171063,0.0005599829117656902,0.0029014703323080684,0.0018011883238391005,0.00010571636672446861,0.0005787761324650359,0.002189606548149386,8.641988804719954e-05,8.250163852540455e-07,6.294316670012824e-09,0.6578947368421058,0.6578947368421123,0.6578947368421039,0.6578947368421072,0.6578947368421048,0.6578947368421048,0.6578947368421336,0.6578947368420984,0.6578947368421004,0.6578947368421091,0.6578947368421743,0.6578947368418393,0.6578947368420053,0.6578947368421075,0.6578947368421153,0.6578947368421121,0.6578947368421048,0.657894736842108,0.6578947368420766,0.6578947368421052,0.6578947368421191,0.6578947368420954,0.6578947368421091,0.6578947368421422,0.6578947368421107,0.657894736842105,0.6578947368419724,0.6578947368420954,0.6578947368421111
school__MS,0.17093651723179643,0.3631644085772131,1.9666410726570067,0.2667203969516708,0.042099101060435025,0.7176154173037116,1.064792735689557,0.10993955043986764,0.008314509280504723,0.5014136756090231,0.29117582855851887,0.9221919631054337,0.00759577270697836,0.0035426189726769646,0.3057010507637354,0.441845270678271,0.037535234864070566,0.3403575757292098,0.16178324530913255,0.6476608397051611,0.05909837757138512,0.7497093660749377,0.0430729971865757,0.039633882198027666,0.19897651712276787,7.68330072748901e-06,0.8666314770566471,0.05976286620384013,0.031729959666535024,0.11886199109908525,0.9802346767840854,0.10076779321496726,0.8235301958844872,0.7641449231455325,0.02753276962207737,0.07804055545948418,1.9267923800805102,1.967644813829622,0.0376130269454608,0.3003919843253216,0.23192033713438567,1.6377521414616032,0.0009737771962825581,0.007430840288403244,0.34268260445566545,0.02243512583362219,1.071942890633701,1.4204205946841681,0.007026905150588012,1.0620878813682069,0.041994634792276775,0.4786686936555324,1.3361574662867126,1.3524311340448816,1.3281082762563141,0.22529753128484575,0.5570234766185248,0.2154518577038725,1.0450863659127416,2.250626523861658,1.9272728662336127,1.6781200774409362,0.5934293536710357,3.166955746349373,0.014872878549482526,5.271751026448636,6.313291858171735,1.327783773871649,1.7953811085868303,2.397496976514648,0.040936150807355236,0.21210473496754031,0.13167136944345428,0.0077281306984738835,0.0423099822235281,0.16006571268609282,0.006317509865973691,6.0310760303105586e-05,4.601302840868219e-07,0.6578947368421069,0.6578947368420838,0.6578947368420878,0.6578947368421428,0.6578947368420968,0.6578947368421368,0.657894736842084,0.6578947368421323,0.6578947368421103,0.6578947368420958,0.6578947368415972,0.6578947368428125,0.657894736842668,0.6578947368421003,0.6578947368420852,0.6578947368420665,0.6578947368420959,0.6578947368420691,0.6578947368418585,0.657894736842125,0.6578947368420751,0.657894736842177,0.6578947368421572,0.6578947368420625,0.6578947368420971,0.6578947368420949,0.6578947368428179,0.6578947368421194,0.6578947368420949
sex__F,0.1749773630899334,0.014850986317528861,0.031594953757376476,0.04846775402898717,0.2074443512850232,0.018837233177205707,0.003147461751351346,0.025089721975979962,0.03454832944567477,0.0980004190523849,0.021476443584274887,0.07555062859677844,0.019677306033826163,0.00011140510274466451,0.00428350904963479,0.1152872668069222,0.0008308967926745226,0.07505535935647713,0.09728330515066656,2.6591616242533585e-05,0.041670826381956835,3.6876370098537046e-05,0.05568309264992751,0.004991799018883342,0.09785479552791654,0.02744518405839441,0.008974207806697292,0.04220202313634693,1.0288516630437822e-07,0.0009099691026553747,0.00037777809659993356,0.007907679283712108,0.11107287777636458,0.0041766460031985265,0.22239407061549918,0.08256562624952857,0.05630284325610446,1.605007770888277e-05,0.015337183985135897,0.017353317720821684,0.00953257802937836,0.017166667120064833,0.0063836514092859,0.02301568494464216,0.022568567929656527,0.004488488855362832,0.05562537013284721,0.0007988530149582668,0.0020770192615542147,0.07397606430067859,0.002778805754735129,0.06908701995173852,0.06406731574490417,0.06992138653826914,0.04913155523999762,0.3969336350640004,0.07638254199766112,0.2462839579612358,0.1329205889376896,0.012459164020669924,0.032651457667529464,2.0348155872969027,0.0582511869707611,0.0562666782825624,0.0006629247421415021,0.015793321295886734,1.40480943065278,0.013121141482838985,0.0254141507913385,0.15221781861246766,0.0035746686692967326,0.003471651862737026,1.5920947019318606e-05,0.00470605565489399,0.013874747966168197,0.002198213192234579,1.0379243788150827e-05,0.003954280804892646,0.0019421511613525217,0.6578947368421051,0.6578947368421008,0.6578947368421015,0.6578947368421214,0.6578947368421049,0.6578947368421033,0.6578947368421704,0.657894736842112,0.657894736842101,0.6578947368420912,0.6578947368423115,0.65789473684154,0.6578947368416971,0.6578947368421099,0.6578947368420967,0.657894736842118,0.6578947368421008,0.6578947368420983,0.6578947368423503,0.6578947368421046,0.6578947368421055,0.6578947368421287,0.6578947368420975,0.6578947368421154,0.6578947368421116,0.6578947368420999,0.6578947368420647,0.6578947368421031,0.6578947368421141
sex__M,0.20261733644192306,0.017196894718584696,0.036585791797737056,0.05612387254703485,0.24021291197359537,0.021812821641043586,0.0036446446863178505,0.029052973190758405,0.0400056919774407,0.1134808727708437,0.02486893000584577,0.08748484296751238,0.022785595042241185,0.00012900300236299797,0.004960145580750355,0.13349840524275086,0.0009621478573963646,0.08691133944385993,0.11265048130690979,3.079211138859509e-05,0.0482532808801464,4.270147723720735e-05,0.06447896869824427,0.005780319256152596,0.11331224609748462,0.031780511455142206,0.010391801832873417,0.048868387140753484,1.1913723002708186e-07,0.001053710677590388,0.0004374531102051409,0.009156801117634988,0.12861829809619002,0.004836402112163062,0.25752413588167655,0.09560795166252695,0.06519661705494806,1.8585398348867597e-05,0.017759893695453475,0.02009450224264798,0.011038373968092723,0.019878367727286468,0.007392033017770651,0.026651314761630292,0.026133569739905927,0.005197504639817006,0.06441212815123301,0.0009250423439988514,0.0024051117417878305,0.0856615555542234,0.0032177546316349698,0.08000022241812296,0.07418758998296332,0.08096638816890099,0.05689252988034148,0.45963451763495644,0.0884481680197402,0.2851877447989202,0.15391714227059386,0.014427252666184689,0.03780918438084313,2.3562414427099414,0.06745272725666648,0.06515473934869981,0.000767642414665562,0.018288083887168197,1.6267175366053717,0.015193798165560228,0.02942864979984673,0.17626262289943323,0.004139334549595348,0.004020044885005049,1.8435869770378095e-05,0.005449438973726131,0.016066446693811017,0.002545449846064756,1.2018781706985305e-05,0.004578911409351527,0.0022489394532668686,0.6578947368421055,0.6578947368421185,0.6578947368421013,0.6578947368420911,0.6578947368421115,0.6578947368421051,0.657894736842026,0.657894736842098,0.657894736842104,0.6578947368421111,0.6578947368420477,0.6578947368427542,0.6578947368425186,0.6578947368421061,0.6578947368421265,0.6578947368420991,0.6578947368421107,0.6578947368421155,0.6578947368417742,0.6578947368421038,0.6578947368421068,0.6578947368420255,0.65789473684209,0.6578947368420996,0.6578947368420998,0.6578947368421151,0.6578947368422773,0.6578947368420998,0.6578947368421011
address__R,0.12333955253191907,0.0013604845249306963,0.5738492530615835,0.04462099664343552,0.002837157301756031,0.16910769201142978,0.25961877620775925,0.10165286385854626,0.09752167840563924,1.1052965582078669,0.08749608441606588,0.002807299171606818,0.8413628470818832,0.00013946093588808843,0.4289448038188053,0.5683350578500734,0.17844968674394723,0.009260776312938205,0.32394824333083644,0.02871049385262312,0.12477740007286059,0.0794164489182075,0.10346522118425228,0.12000741272144677,0.021729978122999344,0.012281837034020367,0.03995890244911381,0.00016754754671893858,0.12818748454494988,0.2417605053454306,0.0054995169406562815,0.02304932195993431,0.053673085514936464,0.6647628741027712,0.10285512036121817,0.20652849085291003,0.16358802299053968,0.28795146357801366,0.17660293461173712,0.43811286828380325,1.256365318430637,0.7919713769531915,0.025914422972279878,0.021051864068279042,0.011863227972770484,0.16990740790616035,0.5856710778506022,0.01665158494005977,0.002611325959548792,0.055361270044276045,0.0012973176245948794,0.252318571074127,0.0068397708528271615,0.056848561909421585,0.002221907385143614,0.19554718990303288,0.21668408907566805,1.1684814659405824,1.144248147286567,0.1336205863210864,0.77538712790313,2.973344930998966,2.4125688106575134,0.10912517260484378,2.147182134644912,0.0399169476638226,3.064849848726401,0.48119047531726755,0.10640628073302603,0.6799138930050765,0.0005584521989180441,0.012105274989293235,0.11574737223181739,0.09384167623572902,0.0004901463123316215,0.002344130314994734,2.870012064309389e-05,0.014077264294686082,0.00367522681828391,0.6578947368421051,0.6578947368421142,0.6578947368421324,0.6578947368421048,0.6578947368421055,0.6578947368420907,0.6578947368419495,0.6578947368420809,0.6578947368421224,0.6578947368421116,0.6578947368426074,0.6578947368422904,0.6578947368415572,0.6578947368421095,0.6578947368421102,0.6578947368421273,0.6578947368420847,0.6578947368421126,0.6578947368420605,0.6578947368421093,0.6578947368421132,0.6578947368421291,0.6578947368421332,0.6578947368421509,0.6578947368421019,0.657894736842105,0.657894736841952,0.6578947368420878,0.6578947368421416
address__U,0.008931808745620065,9.852141773347349e-05,0.041556108093034734,0.0032312928000527664,0.00020545677262746935,0.012246173522223703,0.018800662141688414,0.007361336406617163,0.007062170748881345,0.0800416189490381,0.006336153131354065,0.00020329455375671948,0.060928484671297724,1.009926160154762e-05,0.031062646746229907,0.0411567898208005,0.012922687329356562,0.0006706322600102447,0.02345917180266907,0.0020791111595574044,0.00903593251595504,0.005751054859795835,0.007492580834536924,0.0086905071121225,0.00157360720593591,0.0008894066597521834,0.002893680632317899,1.2133193386638507e-05,0.009282878622746092,0.017507430111934508,0.0003982553244185352,0.001669149362359454,0.003886812662812737,0.04813974698941835,0.007448399517554555,0.014956053779604449,0.01184645885631423,0.02085241390862509,0.012788952152709164,0.03172656514619084,0.09098147762412576,0.05735173126334048,0.0018766297184482287,0.0015245006142534734,0.0008590924904730318,0.012304086083733264,0.04241220231319514,0.0012058481561101383,0.00018910287547155668,0.004009064941452077,9.394709699636126e-05,0.018272007426158143,0.0004953117136168121,0.004116769292697831,0.00016090257672574584,0.014160827286164641,0.015691485838185536,0.08461724371735628,0.08286235355401413,0.009676324398766619,0.056150759331270554,0.21531899308268374,0.17470959444955242,0.007902454249515715,0.15549124165743575,0.0028906424169967727,0.2219454515677955,0.03484609119718939,0.007705561835845127,0.049236929526234145,4.0441108565055974e-05,0.0008766206686984091,0.008382010234025393,0.006795678168923096,3.549464084509883e-05,0.000169753523655172,2.0783599688746893e-06,0.0010194250729841827,0.0002661467660935482,0.6578947368421058,0.6578947368421068,0.6578947368420909,0.6578947368421042,0.6578947368420985,0.6578947368421068,0.6578947368421186,0.6578947368421055,0.6578947368421095,0.6578947368421123,0.6578947368421341,0.6578947368419236,0.6578947368423222,0.6578947368421039,0.6578947368421112,0.657894736842106,0.6578947368421074,0.6578947368421002,0.6578947368422332,0.6578947368421152,0.6578947368421055,0.6578947368421143,0.6578947368420986,0.657894736842103,0.6578947368421112,0.657894736842105,0.6578947368423106,0.6578947368421106,0.657894736842097
famsize__GT3,0.0025235664672442915,0.007301617086816858,0.00038302218224007146,0.0037460813152710147,0.004258406535965979,0.010854461867903073,0.0012034226520073663,0.027861529773440637,0.0006297039541164133,0.015950088886382316,0.004732549856311175,0.007418019552175253,0.004612460337387584,0.0012711859941833899,0.00044709200927817465,0.0037935525702082243,0.011675646820919587,0.006323643702183662,0.010249995438411165,0.001616155871867282,0.013780755601269979,0.00025012945375548065,0.0012168053142820902,0.010576622461537163,0.009285857956029795,0.00319838125064294,0.0015783353746178564,0.0151624592539014,0.009251919794057642,0.048187268049985264,0.02692803565180152,0.052634713139808734,0.36574279946310545,0.004440465204986092,0.02006461342570495,0.025508870955020385,0.03078691185486455,0.04861075471039915,0.07253056385601785,0.0001933783648012816,0.26777182109463366,0.03998735958102778,0.06320368759127888,0.020383936652078254,0.018651262539126644,0.023957631989356732,0.00995376304044236,0.001257088989002494,0.0031153697755805783,0.022829788697231776,0.025564397006172745,0.02085791602602626,0.00334904560235152,0.1600007756385693,0.19243783348639681,0.07545521428028348,0.03380915528841953,0.08861896018843014,0.02485993746038889,0.0460367845646299,0.11937136403702635,0.012448601119891557,0.04534687002918273,0.0031802938426279586,0.0008310951821652486,0.11096045699837902,0.01363187999780793,0.020832130628963944,0.030412487565547278,0.0010871850708696817,0.0005662434211882661,0.0005216789042289396,0.0040307857094748056,0.004032122694580441,0.0006266997623722323,4.737908481209284e-05,0.0008822861740639456,0.0005357699927239066,0.00018366573569572194,0.6578947368421051,0.6578947368421086,0.6578947368421048,0.6578947368421103,0.6578947368420873,0.6578947368421026,0.6578947368421325,0.657894736842106,0.6578947368420972,0.6578947368421139,0.6578947368421462,0.6578947368419092,0.6578947368426641,0.6578947368421061,0.6578947368421131,0.6578947368421121,0.6578947368421001,0.6578947368421111,0.657894736842124,0.6578947368421026,0.6578947368421026,0.6578947368421557,0.6578947368421221,0.6578947368421282,0.6578947368421083,0.6578947368421225,0.6578947368422184,0.6578947368420954,0.6578947368421123
famsize__LE3,0.01803174101835316,0.05217253836330909,0.002736823810303379,0.026767025551905077,0.03042776356560602,0.07755882313230611,0.008598864297128141,0.19908010974580148,0.004499449000548563,0.11396881189859173,0.03381567891042479,0.05300427358268434,0.03295759843885549,0.009083056432550687,0.0031946245233963754,0.02710622381989362,0.08342646901885656,0.04518458578768169,0.07323970483193133,0.011547983580010229,0.09846818748969592,0.0017872600502993714,0.008694487972353594,0.07557356604266274,0.06635061448537419,0.022853522242482344,0.011277743259242547,0.10834093019401994,0.06610811477107548,0.3443144252935502,0.19240997663774473,0.37609293364432095,2.613356741282051,0.03172863469879339,0.14336848964424848,0.182269562027348,0.21998296003988152,0.3473403815679064,0.5182555563099539,0.0013817542109192409,1.9133207675182722,0.28572328937316727,0.45161185205292254,0.14565016274216155,0.13326961668582346,0.171185431829276,0.07112302355931421,0.008982328534214708,0.022260377009612944,0.1631266077733778,0.18266631455483182,0.14903690663419045,0.023930070296979522,1.1432599800713021,1.3750337946711007,0.5391531786647024,0.2415779176507215,0.6332126219676966,0.17763271141722595,0.32894848911731156,0.852949010561904,0.08894949047242037,0.3240188150273101,0.022724281558215976,0.005938457845641849,0.7928502180716365,0.09740442065001904,0.1488526611990449,0.21730757109982654,0.007768307231609527,0.004046001901175066,0.0037275732650169655,0.028801335315371726,0.028810888528843386,0.004477983028400347,0.0003385396810851695,0.0063042348998123545,0.003828258886619161,0.0013123541713616637,0.6578947368421058,0.6578947368421142,0.6578947368421274,0.6578947368421018,0.6578947368421441,0.6578947368421092,0.6578947368418742,0.6578947368420951,0.6578947368421186,0.6578947368421103,0.6578947368420933,0.6578947368426317,0.6578947368410101,0.6578947368421131,0.6578947368421135,0.6578947368420879,0.65789473684211,0.6578947368421176,0.6578947368420919,0.6578947368421084,0.6578947368421066,0.6578947368420391,0.657894736842098,0.6578947368420803,0.6578947368421125,0.6578947368420798,0.6578947368420339,0.6578947368420992,0.6578947368420702
Pstatus__A,0.003046195458035069,0.03821772747563614,0.0881827015222865,0.8275387205251761,0.1114963659034341,0.0679916547334743,0.1861953437728885,0.6309583314914738,0.48351692466794244,0.367234573392006,0.04398138972971407,0.0710067434155838,0.7062420668609409,0.5889913163070178,0.11361643723889543,0.04055795485099809,0.3449756368564405,0.014078816777653779,0.08253496490813597,0.08493680685950503,0.0646945125845539,2.760848696587975,0.4097104959671618,0.0020369892884560905,0.3425847660069656,0.5419772543762217,0.14142369783520203,1.0549102613870562,3.3431942081138164,1.8209670346882645,0.03804637857514775,0.021642096279453828,3.721539089670291e-05,2.2723342209181725,0.004454200731154543,0.17029919314240965,1.4866266770094334,0.4498800576297655,0.03933568626890103,0.09905702955197183,2.5017546070877557,0.17745944403010008,0.15152014135954062,0.09270336089492551,0.37005916255341614,0.1482281393629119,0.7042300483380731,0.16675592984308005,1.104940500004348,0.037076926952327956,0.09729143645743657,4.319936535468308,5.689108620145889,6.311100491706833,3.304875102107129,2.0381611818238428,0.04505268727779026,4.611877421030706,1.0982466968631701,1.906787700342996,0.12732900862388907,0.7056588982912182,0.9883231597754742,0.03749863050569508,1.1318478279823325,1.1184707656316362,1.5093091531172718,0.21629220164999285,0.0009286883486850138,0.0630940394769524,0.18875827943893356,0.07577879052380411,0.027860903924159675,0.014305983360191423,0.005089585153289338,0.0040796434268392185,0.0019880741439340143,0.0008663482533013765,0.002164880645693346,0.6578947368421053,0.6578947368421092,0.6578947368421337,0.6578947368421025,0.6578947368421811,0.6578947368421253,0.6578947368420268,0.6578947368420928,0.6578947368421622,0.657894736842106,0.6578947368423668,0.6578947368427736,0.6578947368428276,0.6578947368421068,0.6578947368420465,0.6578947368420536,0.6578947368421056,0.6578947368421103,0.6578947368429698,0.6578947368420937,0.657894736842102,0.6578947368417892,0.6578947368420781,0.6578947368421151,0.657894736842105,0.657894736842196,0.6578947368425463,0.6578947368421106,0.6578947368420811
Pstatus__T,3.7171327756579324e-05,0.00046635342140023873,0.001076053111463811,0.010098075923120226,0.0013605390782564712,0.0008296710167247155,0.002272056486682407,0.007699295486358228,0.005900135539654118,0.004481195274287276,0.0005366847516369294,0.0008664627627442645,0.008617948422687956,0.007187191224541441,0.0013864093375892926,0.0004949101440376775,0.004209579668238726,0.00017179735183657217,0.001007136368707315,0.0010364449457910126,0.0007894375014543085,0.033689371939841006,0.004999509499869699,2.4856447171872062e-05,0.004180404966485744,0.006613500163257713,0.0017257286005444633,0.01287258668066274,0.04079546745298436,0.022220426565794562,0.00046426252925999364,0.0002640885869687272,4.54122367283589e-07,0.02772825357461671,5.435257111773142e-05,0.0020780830423340296,0.018140624337493357,0.005489680259746624,0.0004799953604338029,0.00120874755503861,0.030527765452902915,0.0021654563039097013,0.001848930875838095,0.001131216646939842,0.004515662441920726,0.0018087600834914518,0.008593396682329833,0.0020348462234096565,0.013483082764385207,0.00045243275519841764,0.0011872028312984795,0.0527142066422414,0.06942158639374864,0.07701146827697997,0.04032787695580941,0.02487074724981092,0.0005497573048702642,0.056276627534886874,0.013401401350987325,0.023267656835580658,0.0015537375646709078,0.008610832283772652,0.012060054782279254,0.0004575786104839214,0.013811420561845181,0.013648186397817463,0.018417408202925294,0.0026393146564240738,1.1332358500375564e-05,0.0007699076612757154,0.002303330816571515,0.000924693867600422,0.00033997384791179425,0.00017456936158153513,6.210587616068727e-05,4.978201991240937e-05,2.4259558070605687e-05,1.0571650873507945e-05,2.6417046819309044e-05,0.6578947368421051,0.6578947368421092,0.6578947368421039,0.6578947368421063,0.6578947368420951,0.6578947368421008,0.657894736842094,0.6578947368421051,0.6578947368421044,0.6578947368421075,0.6578947368421635,0.6578947368419275,0.6578947368417991,0.6578947368421031,0.6578947368421298,0.6578947368421099,0.6578947368421056,0.6578947368421045,0.6578947368421525,0.6578947368421046,0.6578947368421114,0.6578947368421437,0.6578947368421235,0.657894736842113,0.6578947368421093,0.6578947368420911,0.6578947368420545,0.6578947368420984,0.6578947368421182
