modalite,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,Dim11,Dim12,Dim13,Dim14,Dim15,Dim16,Dim17,Dim18,Dim19,Dim20,Dim21,Dim22,Dim23,Dim24,Dim25,Dim26,Dim27,Dim28,Dim29,Dim30,Dim31,Dim32,Dim33,Dim34,Dim35,Dim36,Dim37,Dim38,Dim39,Dim40,Dim41,Dim42,Dim43,Dim44,Dim45,Dim46,Dim47,Dim48,Dim49,Dim50,Dim51,Dim52,Dim53,Dim54,Dim55,Dim56,Dim57
school__GP,0.03380715805398698,0.0010995003591228998,0.004360575707900827,0.006160793463694848,0.004136452031907245,0.0006995459471786415,7.445258663899161e-05,0.09699040414276157,1.995371305469335e-06,0.009247715460686621,0.00566474502267731,0.009509815385424288,0.0016576984483776638,0.013594553895688588,0.00044457934268001854,0.014592620317977404,0.01908551054111774,8.706409508397e-06,0.0010676424098763908,0.0009475905696437496,0.00958799116651792,0.004562970756018232,0.002599474897456968,2.965941185481134e-06,0.0004978756183137105,0.00010536171949091099,0.011431437997932977,0.01026685989660178,0.0006413277251606975,0.0060501384027543195,0.002163608763731033,0.0007605192758955391,0.001021595787083468,0.0051813295148667084,0.0297534262983755,0.012485984869473152,0.006925829258105602,0.010567605087047639,0.006792059812730115,0.013637851622728781,0.003382727072342968,0.01470667328221938,0.027522110256765195,0.0365997949743769,0.11700947622539304,0.0014238923047687905,0.0018411683046437519,0.0002462262725726603,0.001107624920669682,1.7648306133596973e-08,5.3925278381772205e-06,2.963892286155772e-05,1.6791248340683107e-07,4.5966656554479246e-06,1.861820526589702e-06,1.162790697674419,1.1627906976744313
school__MS,2.471387771641572,0.0803762250027815,0.3187689856868185,0.45036940417975113,0.3023849846624989,0.05113855760362655,0.005442670214776773,7.0902410188462275,0.0001458666308580785,0.6760311194648455,0.4141070230202687,0.6951912792129805,0.12118190082252764,0.9937958761595749,0.03249986139826565,1.066757026794941,1.3951985343320614,0.0006364603010876104,0.07804732926798948,0.06927123961738132,0.7009061242503796,0.3335645696918236,0.1900281136913481,0.0002168177155116651,0.03639595238777873,0.007702205099084182,0.8356666962438901,0.750533125591332,0.04688266002855954,0.4422802425873499,0.15816520965064748,0.05559586036615352,0.0746812060252664,0.3787681408605472,2.175049845977004,0.9127567089206673,0.5062954333406665,0.7725183508758988,0.4965165524601008,0.9969610482505439,0.2472858058059581,1.0750945836134413,2.0119350650451584,2.6755365121143893,8.553685235766743,0.10409008720935738,0.13459400599021687,0.017999756090743484,0.08097015076325234,1.2901352991438196e-06,0.00039420726629450136,0.0021666793585031837,1.2274822319751014e-05,0.00033602775117807143,0.00013610373502447254,1.1627906976744187,1.1627906976744384
sex__F,0.00846511228849021,0.13716443240053233,0.0066481563912240745,0.036839360105554025,0.05850104703495041,0.13137933696007334,0.009176801713770177,0.14604223602455718,0.16899546581016348,0.0231604770874019,0.10749582995646946,0.008021202894687154,0.028330013109160886,0.031693793945441244,0.004655141567354708,0.14350529937511272,0.025596070569966392,0.00021558879898879633,0.03780964021221435,9.789621649461873e-05,0.0012183519772870622,0.011941333251247419,0.02027420628434165,0.04239707863267603,0.006197071735354766,0.0021559199091833116,0.009998497612038098,0.016871049868543184,0.0007777066780961742,0.003943159612886372,0.023371918245456532,0.017924476669008732,0.5434628473177908,0.012988323244600536,0.03527871468878283,0.012463427100878688,0.0007291797688446912,0.02465294942246316,0.3376560494157077,0.08316538078580508,0.02231248785675379,0.772432991417209,0.48040921265821956,0.16688869467797604,0.0379783203021972,0.23092432176087405,0.113713276033149,0.2552576762148762,0.020108458113360556,5.3344608956291245e-05,0.00269704578858992,1.1758162360991938e-05,2.1981107083270962e-06,0.00018244313079040386,0.0009969972044801805,1.1627906976744182,1.1627906976744322
sex__M,0.009802287989070397,0.1588313565639907,0.0076983200366714365,0.04265862102959996,0.06774205600065528,0.15213242929414897,0.010626398109246406,0.169111525906981,0.19569051989666944,0.02681897872561739,0.12447620857790151,0.00928825727443626,0.032805110879357946,0.03670024509206875,0.005390482337150656,0.16617384678349265,0.029639306197570922,0.0002496438821939061,0.043782169626643865,0.00011336021005007445,0.0014108066788032158,0.013827623723473077,0.02347678352939889,0.049094254215366104,0.00717598063305903,0.0024964757833064112,0.01157789167008324,0.019536053847068954,0.000900555665408854,0.004566033478957826,0.027063819792499885,0.020755883250585302,0.6293099440644715,0.015039999541627038,0.04085145116549603,0.014432189155920736,0.0008443632932947694,0.028547206674097568,0.39099325854481976,0.09630244530738026,0.0258370384551087,0.8944489306332771,0.5562961594120066,0.19325095658540228,0.04397749495295694,0.2674018522658712,0.1316757819471765,0.2955789797474013,0.02328485325721219,6.177109078222939e-05,0.0031230796046775797,1.3615518584887842e-05,2.545331173626803e-06,0.0002112624202532011,0.0011544860114600936,1.162790697674418,1.1627906976744566
address__R,0.6603087156856474,0.0010018628711682708,2.8336927698515183e-05,0.23452524496971777,0.00021824528473980213,0.39544859366000085,0.0382175344612358,2.431337740361756,0.6001276023249743,0.12406548835866583,0.10623337831478867,0.1222566892137217,0.07854987383630103,0.306654964037948,0.3171706373554425,0.0005848964190139944,1.2476732059818958,0.004795648826601074,0.8513436736216325,0.028731307537789047,6.521683895284501e-05,0.00015811759446322007,0.10299313706108515,0.006193742701636553,0.18916198497118777,0.00851822328031611,0.05354121489986793,0.023610323279716454,0.03455834261111347,0.22433237886276214,0.2006485817576673,0.0026351508074231953,0.03709335653844604,0.3109942440459629,0.00541945177524796,0.14462287508171093,0.3339461102595113,0.014864534508736697,0.677117672466517,0.01213842490775583,0.0229848619558075,0.2719694798020992,0.6433416462720376,0.024440507121125048,3.13382807705048,3.0980968033283247,0.011154911455699348,0.0013106318967565334,0.3336180819916235,3.3680403523127946e-05,0.0004007801668685622,0.00033018907370524107,2.2656683757516818e-05,5.069539762946057e-05,6.320874769067283e-05,1.1627906976744184,1.1627906976744786
address__U,0.04781719278610099,7.255132170434024e-05,2.0520588363258942e-06,0.016983478463221395,1.5804542037923524e-05,0.028636971148257345,0.0027675769980482433,0.176068773131792,0.04345909205035445,0.008984378418794575,0.007693040861837371,0.00885339166158464,0.005688300595357345,0.022206854439277477,0.022968361846878643,4.235610429411163e-05,0.09035202596491446,0.0003472837159780728,0.061651260390409884,0.002080618412108426,4.7227699514314285e-06,1.1450310010631819e-05,0.007458394192754824,0.00044852866817625696,0.013698433608855929,0.0006168592282883572,0.0038772630650658426,0.0017097750691296956,0.0025025914269325394,0.01624534759791371,0.0145302518174419,0.00019082818564368313,0.00268616805828579,0.022521089559558657,0.0003924572918334574,0.010473070754308453,0.02418318152572985,0.0010764363628637701,0.0490344372474124,0.0008790212670917671,0.0016644813996760188,0.01969505587114469,0.04658849837408862,0.0017698940102394063,0.226940607868877,0.22435307697086324,0.0008077987446148099,9.4911268911162e-05,0.024159426893158562,2.439014221862941e-06,2.902306458881403e-05,2.3911110391269017e-05,1.6407159097548675e-06,3.6711791671201872e-06,4.5773511732214816e-06,1.162790697674418,1.1627906976744118
famsize__GT3,0.003890173694835592,1.9971015487479516e-05,0.0027249734172745134,0.015061101907082479,0.005994684654621359,0.03425958736849562,0.005541885442503021,0.004995884018691848,0.0007640233923859637,0.028279198078450203,0.004329366092930215,0.0446872903092739,0.15023854857414257,0.06717596002006614,9.061085280998999e-06,0.4154887469895817,0.0018798828355625259,0.0008687567023745895,0.055962112425343116,0.010745776353849391,0.00021658109714311525,0.011196080995245479,0.029998767780891358,0.001529679879506686,0.002878243543319798,0.01754452034819791,0.011355107905532992,0.056051926405942934,0.011385593424897679,0.001160709158317512,0.007558117944351549,0.014031529152517519,0.053081109750848954,0.12534349142076928,0.011627163869527422,0.030948221619028483,0.15887836886411313,0.012442976593369955,0.005944706709178528,0.001958481450328514,0.06093090669895168,0.01134855224681618,0.03608869287958897,0.10647256765748558,0.05361922441106046,7.028226673143103e-06,0.009696690906740588,3.8957344878924904e-05,0.01568671322072824,1.493694852004077e-06,7.487231563618686e-06,1.9489663389647837e-05,2.152207721744488e-05,5.7099160479773875e-06,3.957592192843338e-05,1.162790697674418,1.1627906976744529
famsize__LE3,0.02779661462940748,0.0001426997005301714,0.0194708622023525,0.10761669746551047,0.04283406146891263,0.24479640811638465,0.03959865703942338,0.03569729109657754,0.005459207087385023,0.2020644918911746,0.03093479374316017,0.31930589351534017,1.0735055462281833,0.47999509006941604,6.474453724636091e-05,2.9688084617550703,0.013432402465200983,0.0062075622213681025,0.39986833364277186,0.0767822281555935,0.0015475456279224066,0.0799998080285271,0.2143514024758139,0.010930083192288638,0.020566029401065902,0.1253615671773413,0.08113610940932116,0.40051008509216823,0.08135393881747358,0.008293661852016434,0.05400532426139637,0.10026004983572162,0.37928258931070974,0.8956218926555752,0.08308004183548065,0.22113557318833238,1.1352400017838498,0.08890930131675365,0.04247695204439263,0.01399401630983571,0.4353720592938068,0.08108926699731367,0.25786598932194227,0.7607827217863479,0.3831276016442711,5.021907084018938e-05,0.06928615569864577,0.00027836348387781976,0.11208690315742857,1.0672957927339392e-05,5.3498816952306045e-05,0.00013926027601916335,0.00015378256432094648,4.079929289919886e-05,0.0002827834273707812,1.1627906976744182,1.1627906976744233
Pstatus__A,0.05760368116510668,0.04921799590407927,0.34379622705543555,0.012540732628141964,0.42466923422356434,0.28341207432607557,0.13393858950223303,2.0701848253039024,0.0028892210027300015,4.303781775122792,0.06620981753652089,1.2153455003098264,0.3313538063198778,0.13952973716319117,1.056305290381997,2.634641145219264,0.468804584043703,0.24224157481909908,0.1774708692201404,0.41992926379238094,0.018444133634406598,0.08586938729719754,0.004423845156373729,0.6033512209420755,0.39959503611540936,0.5587630963031267,0.603212353487948,0.8831884933044382,0.021388254063698767,0.17009707007419997,0.39545398272909016,0.026688846627998464,17.854752486625987,0.1865313530333094,0.5570153490514888,1.3113268541428744,0.8783559095359538,0.09353189490413655,8.20702937111687,0.518981118736756,0.001714813140400409,0.13881013092718325,0.08030656321287123,0.2890144723164621,0.5164293746866255,0.03340153120424958,0.26468538819771276,0.024636187909474916,0.10589934691529741,5.1632565877129344e-05,0.00011992896711547385,5.236040016187983e-06,4.741671666657444e-05,2.3119089674951673e-06,0.0005309284445134603,1.1627906976744187,1.1627906976744076
Pstatus__T,0.0007029113338494878,0.000600584657969599,0.00419518787070762,0.00015302881553404547,0.005182044130432191,0.0034583477160530403,0.0016343912523764932,0.025261517101632918,3.5255840386206886e-05,0.05251707750200535,0.0008079280736439942,0.01483030440818848,0.0040433587101634605,0.0017026174660597613,0.012889609580445511,0.032149319004331885,0.0057206075865257194,0.0029559629701762726,0.00216559572027009,0.005124204442572018,0.0002250653137513776,0.001047824797670647,5.3982155944123635e-05,0.00736241856273965,0.004876075177043792,0.006818330102941767,0.007360724026810124,0.010777144607994255,0.00026099106669129866,0.0020756166271223126,0.0048255437995268135,0.00032567176962910305,0.21787336559194126,0.0022761566537663537,0.006797003143847651,0.016001520901351388,0.010718174802003738,0.0011413268679148563,0.10014661989498311,0.006332888854244358,2.0925079221347514e-05,0.0016938364408029204,0.0009799442036183485,0.003526711212352663,0.006301751090517713,0.00040758358452997915,0.0032298345436511753,0.0003006241155800493,0.0012922412194571885,6.300485492702047e-07,1.4634382479664961e-06,6.389299775317479e-08,5.7860447261182e-07,2.821116618582965e-08,6.4786765972779005e-06,1.1627906976744184,1.1627906976744529
