variable,0,1,2,3,4,5,6,7,8,9
age,0.09132039488982249,0.0006441602419221522,0.10000713551429691,0.03586262412685064,0.10763004855226974,0.02078340594561877,0.016087930967611633,0.0002847781084882802,0.0051634225996851696,0.0005783674869187814
Medu,0.11766285505274728,0.18669871183069042,0.14035199054261918,0.005396241117048874,0.006491105501708927,0.03194855889306011,0.0031318463672472792,0.026217579253826246,0.003931171969238959,0.05713070623712031
Fedu,0.09547772255416337,0.11939839411573855,0.14972669623775095,0.0017938480451512853,0.0350279249283357,0.006333585569410491,0.029859963152834314,0.013075222127864973,7.711395341057401e-06,0.048373237233377546
traveltime.m,0.1120412401058148,0.007620893897091711,0.11007650905333406,0.012847108693267242,2.8670123309615076e-06,0.2704123711874942,0.03731819505796683,0.037504072893176685,0.0022761783280614905,0.015506427856320386
studytime.m,0.1923655201447243,0.04239480670310239,0.010284593696224628,0.10958653614259457,0.06899225150068078,0.029947347928342416,0.008069178156592397,0.0018596284785963129,0.002279848703991848,0.0452967106523801
failures.m,0.31318462147901116,0.022496026756437682,0.0021957923467676426,0.0010279236752190621,0.004357478739310696,0.02999895610706538,0.0014995708152246246,0.010774384302170627,0.010915332129473938,0.00015875796100103828
famrel.m,0.003922067325674222,2.5498417657715665e-05,0.0380449470239756,0.2005008270450387,0.18343883468169428,0.03210526451259243,0.003905820802158384,0.0038441057943868692,0.036723663781651435,0.018170354448347126
freetime.m,0.04520158328486027,0.14611201569315738,0.03952324865572651,0.10044872991844508,0.1693037718285141,0.006546613097661018,0.00455686222163271,0.011320965663362258,0.03726650469204985,0.0032464081745552454
goout.m,0.10515697775666433,0.19629459788845735,0.027357087335434366,0.02225082775706015,0.11760577013434488,0.0004459010524919272,0.08486447023333467,9.28994883738075e-05,0.010403791906364018,0.08440300600729161
Dalc.m,0.24115724046179887,0.3514585914428171,4.0882636066874294e-05,0.0564103075052308,0.029826441809157472,0.031022898698165716,0.001253766819896543,0.0034742754099408996,0.0026136305014082977,0.001287677954831116
Walc.m,0.2501152662417105,0.40359761448398856,0.007181120299199029,0.057515329710636144,0.0176751230304164,0.01829199387643963,0.002164111132854793,0.00040135958972839394,0.004568529737928047,0.014885369439445831
health.m,0.03484191323006219,0.001257447977763197,0.07735625649196377,0.1612921785915398,0.010857913890081396,0.0016367341574219957,0.1964528982064299,8.072022459863094e-05,0.19788612910583628,0.008795340507515514
absences.m,0.01977086786020281,0.028844252358297743,0.00663725580197128,0.07467962081194858,0.003424508592262153,0.02539013354725545,0.011371008558767708,0.009505495198984013,0.0010213279546885648,0.01810114478095221
G1.m,0.4111686456442714,0.17466247299849208,0.10689701412805364,0.023716247322142968,0.0013407403078042075,7.236453527235709e-06,0.010978725017449557,0.0004603532858706167,0.001347686139164911,0.004046337783633371
