variable,0,1,2,3,4,5,6,7,8,9
age,0.23144901574985846,0.014418925491719524,0.00504140074561071,0.09728631508803959,0.004964558401754083,0.0016774831387805546,4.9939422549169405e-05,0.0063130895838488755,0.001012072118419577,0.0012180802506889844
Medu,0.28951197674602874,0.3285819314257665,0.0002043479786305271,0.0015788824306994125,0.018270774575817977,0.0003840718064168943,0.0011932380839745494,0.008520308012849682,0.0016956516420711877,0.06291251875609043
Fedu,0.2644900009273854,0.21194574969835522,0.0031326414256723045,0.010883057581696838,3.115837433501289e-06,0.011580311519906454,0.0015456841402781243,5.216184535505377e-05,0.006445334287577748,0.1617048569532282
Dalc,0.11186307469059116,0.22825893585405152,0.00482508888752305,0.04228476708352009,7.431280612910553e-05,0.022227470427537435,0.05877018757256124,0.0730415642397485,0.1173423909277168,0.00045748970904359
Walc,0.13728553792159706,0.24556366651374872,0.0014542731248979315,0.022014694213705114,2.5807400270474425e-06,0.032061119649121964,0.06828719469587026,0.08269754865607455,0.11501556709445047,0.015423968150545373
goout,0.042932691498414936,0.13845865899721846,0.0012803847503398298,0.006815666926106364,0.0017916368976029146,0.06466241521315387,0.005198002838889359,0.0027413736914223847,0.035010264335901056,0.04285266480570591
freetime,0.019050654989550112,0.1047561351235995,0.000321254392488104,0.015811060368389977,0.014862185453521012,0.04751149378505602,0.0003993105480075318,0.007752489504639056,0.004267336197454878,0.01601487605020429
studytime,0.13034052268697846,0.06426642442330145,0.020344622425629334,0.05891905449703012,0.01627908786636332,0.002431892061109645,0.021516549224610326,0.004216640519412709,1.9235050655247766e-05,0.030055420887903302
failures,0.3312776230144826,0.001515622565725725,0.04326915997315778,0.07049815189482023,0.0006746180420474688,0.010271176953538005,0.0036401791450628575,0.004232832054842554,0.024321883418836353,0.018070313065488012
absences,0.017517171411561273,0.05499634480218886,0.03103829710128869,0.0004535121515417992,0.04071204522811143,0.006860831757430824,0.0009309205017128015,0.004501833125411508,0.06078792319151873,0.002440219713304007
traveltime,0.11756098888799596,0.009777016475010414,4.5713372324172674e-05,3.787604515072013e-10,0.037477606131006216,0.011090333436308518,0.00012780543302598967,0.168154522661376,0.005441355917092502,0.06732211100071074
famrel,0.0040131971452272595,1.7900238373526526e-05,0.005287402122860741,0.0006002396976273715,0.011519660055259846,0.036564737654212316,0.0020836804188316374,0.016477668317925125,0.04943099253752531,0.011758757527524907
health,0.006167884348467613,0.018225721973721402,0.0013813359460569956,0.04435424866722001,0.003503334215206744,1.8055948338582056e-06,0.0007528384314895469,0.0001831454617587674,0.059237583816029976,0.00017047605913135254
G3,0.267890755596017,0.0016469875411327644,0.07632209813475588,0.06548132848165189,0.003167139651196201,0.0017739374205860007,0.017967232642198707,0.0112165625748385,0.0068051975693545,0.0013142933607861581
